127.0.0.1 - - [22/Apr/2021:18:18:08 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:55 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:55 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:55 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/bg.jpg HTTP/1.1" 200 325158
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:55 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10175
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 5211
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/bg.jpg HTTP/1.1" 200 325158
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10175
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 5211
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/bg.jpg HTTP/1.1" 200 325158
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10175
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 5211
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/bg.jpg HTTP/1.1" 200 325158
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:03:56 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:03 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10175
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:03 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:03 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:03 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 5211
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:03 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:03 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:03 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:03 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/bg.jpg HTTP/1.1" 200 325158
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:03 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:37 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10175
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:38 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 5131
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:38 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10175
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:38 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:38 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10175
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:38 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:39 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10175
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:39 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:39 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10175
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:39 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 5131
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:39 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:39 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:39 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:39 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:39 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10175
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 5131
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10175
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 5131
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10175
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 5131
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/bg.jpg HTTP/1.1" 200 325158
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:40 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:51 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10211
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:51 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 5343
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:52 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10211
0:0:0:0:0:0:0:1 - - [22/Apr/2021:19:04:52 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 304 -
