127.0.0.1 - - [01/May/2021:15:48:52 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:32 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:32 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 5489
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:32 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:32 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:32 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:32 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/bg.jpg HTTP/1.1" 200 325158
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:32 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:33 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9366
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:33 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:33 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:33 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 5489
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:33 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:33 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:33 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:33 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/bg.jpg HTTP/1.1" 200 325158
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:33 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9366
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 5489
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/bg.jpg HTTP/1.1" 200 325158
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9366
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 5489
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/bg.jpg HTTP/1.1" 200 325158
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9366
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 5489
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9366
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 5489
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:35 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/bg.jpg HTTP/1.1" 200 325158
0:0:0:0:0:0:0:1 - - [01/May/2021:16:01:35 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/May/2021:16:03:13 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9366
0:0:0:0:0:0:0:1 - - [01/May/2021:16:03:13 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:16:03:13 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:16:03:13 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 5489
0:0:0:0:0:0:0:1 - - [01/May/2021:16:03:13 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [01/May/2021:16:03:13 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 8123
0:0:0:0:0:0:0:1 - - [01/May/2021:16:03:13 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 7927
0:0:0:0:0:0:0:1 - - [01/May/2021:16:03:13 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/bg.jpg HTTP/1.1" 200 325158
0:0:0:0:0:0:0:1 - - [01/May/2021:16:03:13 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/May/2021:16:07:10 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9366
0:0:0:0:0:0:0:1 - - [01/May/2021:16:07:10 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2021:16:07:10 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2021:16:07:10 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2021:16:07:10 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2021:16:07:48 -0300] "GET /CapRat/www/common/user/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10217
